3 phase apparent power all meters exported from database
Time,AG_SCIENCE__MCC_MTR,BIOMEDICAL_SCIENCE_CH_MTR_1,BIOMEDICAL_SCIENCE_CH_MTR_2,BIOMEDICAL_SCIENCE_MAIN_A_MTR,BIOMEDICAL_SCIENCE_MAIN_B_MTR,BIOMEDICAL_SCIENCE_MCC_A_MTR,HAMILTON_LIB_PH_III_CH_1_MTR,HAMILTON_LIB_PH_III_CH_2_MTR,HAMILTON_LIB_PH_III_CH_3_MTR,HAMILTON_LIB_PH_III_MAIN_1_MTR,HAMILTON_LIB_PH_III_MAIN_2_MTR,HAMILTON_LIB_PH_III_MCC_AC1_MTR,HAMILTON_LIB_PH_III_MCC_AC2_MTR
Aug 11 24  10:25,144330.00,0.00,290040.00,734720.00,42090.00,153380.00,0.00,140900.00,1790.00,354190.00,84250.00,59250.00,21030.00
Aug 11 24  10:26,138830.00,0.00,290810.00,745220.00,41960.00,152870.00,0.00,141260.00,1500.00,348210.00,84230.00,59250.00,21030.00
Aug 11 24  10:27,139620.00,0.00,289430.00,735410.00,43490.00,155150.00,0.00,141260.00,1500.00,338940.00,84010.00,59180.00,21300.00
Aug 11 24  10:28,144280.00,0.00,289310.00,731280.00,40790.00,152610.00,0.00,139730.00,1500.00,342890.00,84190.00,59180.00,21300.00
Aug 11 24  10:29,135310.00,0.00,287450.00,723800.00,41090.00,149070.00,0.00,139730.00,1500.00,332550.00,84040.00,58990.00,21300.00
Aug 11 24  10:30,134780.00,0.00,287370.00,727370.00,41150.00,147970.00,0.00,139730.00,1500.00,327310.00,84270.00,58990.00,21330.00
Aug 11 24  10:31,120640.00,0.00,291200.00,731510.00,41990.00,151200.00,0.00,138070.00,1500.00,325040.00,86620.00,58990.00,21330.00
Aug 11 24  10:32,121180.00,0.00,290440.00,737790.00,42680.00,152830.00,0.00,138070.00,1500.00,321740.00,84530.00,58720.00,21580.00
Aug 11 24  10:33,127560.00,0.00,289600.00,739940.00,42210.00,153000.00,0.00,134900.00,1500.00,302170.00,84620.00,58720.00,21580.00
Aug 11 24  10:34,135970.00,0.00,290370.00,732980.00,39740.00,154500.00,0.00,134900.00,1500.00,298100.00,84100.00,58930.00,21580.00
Aug 11 24  10:35,137450.00,0.00,289600.00,710990.00,39370.00,154410.00,0.00,134900.00,1500.00,303210.00,84200.00,58930.00,20900.00
Aug 11 24  10:36,123320.00,0.00,290580.00,711870.00,39520.00,155410.00,0.00,132130.00,1500.00,315430.00,84050.00,58930.00,20900.00
Aug 11 24  10:37,124000.00,0.00,290850.00,710660.00,40240.00,152550.00,0.00,132130.00,1500.00,324210.00,84170.00,58340.00,20950.00
Aug 11 24  10:38,134590.00,0.00,290490.00,708470.00,39470.00,151660.00,0.00,130480.00,1500.00,312260.00,84330.00,58340.00,20950.00
Aug 11 24  10:39,131100.00,0.00,289470.00,701370.00,37850.00,148870.00,0.00,130480.00,1850.00,307160.00,84460.00,58210.00,20950.00
Aug 11 24  10:40,138020.00,0.00,293220.00,717000.00,39200.00,149890.00,0.00,130480.00,1850.00,305670.00,84410.00,58210.00,20440.00
Aug 11 24  10:41,139120.00,0.00,293010.00,729300.00,39810.00,153130.00,0.00,129990.00,1810.00,310440.00,84390.00,58210.00,20440.00
Aug 11 24  10:42,142210.00,0.00,292870.00,739800.00,40560.00,153970.00,0.00,129990.00,1810.00,302040.00,84510.00,57870.00,20490.00
Aug 11 24  10:43,136610.00,0.00,292840.00,738230.00,40570.00,153350.00,0.00,129190.00,1810.00,301100.00,84430.00,57870.00,20490.00
Aug 11 24  10:44,129210.00,0.00,291870.00,737670.00,42710.00,154280.00,0.00,129190.00,1810.00,308900.00,84140.00,57870.00,20490.00
Aug 11 24  10:45,138590.00,0.00,291600.00,737150.00,41020.00,153740.00,0.00,129190.00,1810.00,310010.00,84340.00,57870.00,19400.00
Aug 11 24  10:46,140000.00,0.00,291030.00,733540.00,42000.00,153440.00,0.00,130000.00,1810.00,305900.00,84350.00,57870.00,19400.00
Aug 11 24  10:47,137740.00,0.00,289690.00,741320.00,41930.00,151390.00,0.00,130000.00,1810.00,307720.00,86210.00,58040.00,19460.00
Aug 11 24  10:48,136220.00,0.00,288460.00,729350.00,43100.00,149210.00,0.00,130570.00,1810.00,324360.00,84500.00,58040.00,19460.00
